DIVISION_ID,PROVINCE_ID,DIVISION_NAME,DIVISION_NAME_URDU,DIVISION_GPS,CREATION_DATE_TIME_STAMP,CREATION_USER_ID,INTERFACE_SOURCE,UPDATE_DATE_TIME_STAMP,UPDATE_USER_ID,RECORD_ACTIVE_STATUS,URL_USED,REMARKS_REASON_OF_NON_ACTIVE,division_latitude,division_longitude
1,1,Muzaffarabad Division,,,,,,,,1,,,,
2,1,Poonch Division,,,,,,,,1,,,,
3,1,Mirpur Division,,,,,,,,1,,,,
4,2,Quetta Division,,,,,,,,1,,,,
5,2,Pishin Division,,,,,,,,1,,,,
6,2,Khuzdar Division,,,,,,,,1,,,,
7,2,Lasbela Division,,,,,,,,1,,,,
8,2,Makran Division,,,,,,,,1,,,,
9,2,Naseerabad Division,,,,,,,,1,,,,
10,2,Sibi Division,,,,,,,,1,,,,
11,2,Rakhshan Division,,,,,,,,1,,,,
12,2,Zhob Division,,,,,,,,1,,,,
13,2,Loralai Division,,,,,,,,1,,,,
14,2,Koh-e-Sulaiman Division,,,,,,,,1,,,,
15,3,DISPUTED TERRITORY,,,,,,,,1,,,,
16,4,FATA,,,,,,,,1,,,,
17,5,FEDERAL CAPITAL TERRITORY,,,,,,,,1,,,,
18,6,Gilgit Division,,,,,,,,1,,,,
19,6,Baltistan Division,,,,,,,,1,,,,
20,6,Diamer Division,,,,,,,,1,,,,
21,7,Peshawar Division,,,,,,,,1,,,,
22,7,Mardan Division,,,,,,,,1,,,,
23,7,Hazara Division,,,,,,,,1,,,,
24,7,Malakand Division,,,,,,,,1,,,,
25,7,Kohat Division,,,,,,,,1,,,,
26,7,Bannu Division,,,,,,,,1,,,,
27,7,Dera Ismail Khan Division,,,,,,,,1,,,,
28,8,Lahore Division,,,,,,,,1,,,,
29,8,Gujrat Division,,,,,,,,1,,,,
30,8,Gujranwala Division,,,,,,,,1,,,,
31,8,Faisalabad Division,,,,,,,,1,,,,
127,41,GHOTKI,,,,,,,,,1,,[NULL],69.49942254,27.85876309
128,38,HYDERABAD,,,,,,,,,1,,[NULL],68.38851415,25.28314044
129,40,JACOBABAD,,,,,,,,,1,,[NULL],68.37705716,28.24026947
130,38,JAMSHORO,,,,,,,,,1,,[NULL],67.69760216,26.23915111
131,39,KARACHI,,,,,,,,,1,,[NULL],67.13494993,24.89196186
132,40,KASHMORE,,,,,,,,,1,,[NULL],69.45240744,28.33075082
133,41,KHAIRPUR,,,,,,,,,1,,[NULL],68.46101484,26.78164897
134,40,LARKANA,,,,,,,,,1,,[NULL],68.20179908,27.57267283
135,38,MATIARI,,,,,,,,,1,,[NULL],68.52300936,25.62580695
136,42,MIRPURKHAS,,,,,,,,,1,,[NULL],68.96977289,25.63662633
137,43,NAUSHAHRO FEROZE,,,,,,,,,1,,[NULL],68.11437465,27.07252954
138,43,SANGHAR,,,,,,,,,1,,[NULL],69.04813806,26.10894309
139,40,SHAHDAD KOT,,,,,,,,,1,,[NULL],68.08114249,27.81265427
140,43,SHAHEED BENAZIRABAD,,,,,,,,,1,,[NULL],68.19696364,26.14280442
141,40,SHIKARPUR,,,,,,,,,1,,[NULL],68.52047966,28.03818193
142,38,SUJAWAL,,,,,,,,,1,,[NULL],67.61535452,23.99421692
143,41,SUKKUR,,,,,,,,,1,,[NULL],68.80334568,27.76079097
144,38,TANDO ALLAH YAR,,,,,,,,,1,,[NULL],68.81905667,25.32225159
145,38,TANDO MUHAMMAD KHAN,,,,,,,,,1,,[NULL],68.58823615,25.12287427
146,42,THAR PARKAR,,,,,,,,,1,,[NULL],70.08639479,24.62181582
147,38,THATTA,,,,,,,,,1,,[NULL],67.4707461,24.17953026
148,42,UMER KOT,,,,,,,,,1,,[NULL],69.36732534,25.49709738
149,1,Jhelum Valley,,,,,,,,,1,,[NULL],,
150,5,Chamman,,,,,,,,,1,,[NULL],,
